                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91073,                 1.4232,                 4.3697,                 1.1507,                0.40981,                0.05556,                0.04778,                0.03568,                0.43052,                0.06944,                 0.0512,                0.03243,                 0.8101,                 1.0619,                 4.6232,                   1.06,             0.00010003,             0.00010003,             0.00010003
                      2,                0.76335,                  1.036,                 3.2156,                 0.9465,                0.11525,                0.33184,                0.09888,                0.07402,                0.11547,                0.36517,                0.10343,                0.07738,                0.76707,                 1.3047,                 33.777,                 1.0031,             0.00021011,             0.00021011,             0.00021011
                      3,                0.80151,                 1.1087,                 2.6525,                 1.0047,                0.03302,                0.14209,                0.00767,                0.00651,                0.03302,                0.14209,                0.00785,                0.00663,                0.84474,                 1.4056,                 63.381,                 1.0766,             0.00031565,             0.00031565,             0.00031565
                      4,                0.91822,                 1.1749,                 2.3053,                 1.0418,                0.18183,                0.09722,                0.10318,                0.08041,                0.18183,                0.09722,                0.10328,                0.07403,                0.86025,                 1.2338,                  134.4,                 1.0828,             0.00041668,             0.00041668,             0.00041668
                      5,                0.91403,                 1.3582,                 2.0648,                 1.0497,                0.19723,                  0.125,                0.12444,                0.09433,                 0.1985,                0.15833,                0.12448,                0.08378,                0.92366,                 1.1802,                 24.865,                 1.1181,             0.00051317,             0.00051317,             0.00051317
                      6,                 0.8933,                 1.2431,                 2.2861,                 1.0312,                0.16692,                0.82372,                0.19855,                0.13072,                0.16692,                0.82372,                0.19855,                0.13313,                 1.0738,                  1.853,                 70.309,                 1.2047,             0.00060514,             0.00060514,             0.00060514
                      7,                0.94058,                 1.2403,                 2.1908,                 1.0493,                0.38811,                0.76233,                0.46024,                0.32535,                0.38811,                0.76233,                0.46024,                0.30418,                 0.9728,                 2.0491,                 2.1875,                 1.1255,             0.00069258,             0.00069258,             0.00069258
                      8,                0.96465,                 1.3681,                 1.8784,                 1.0382,                0.21302,                0.64252,                0.29741,                0.20019,                0.21302,                0.64252,                0.29073,                0.17822,                 1.1093,                 3.2311,                 3.9759,                 1.2003,             0.00077549,             0.00077549,             0.00077549
                      9,                0.98618,                 1.4444,                  2.316,                  1.129,                0.23911,                0.60983,                0.33771,                0.22864,                0.23911,                0.60983,                0.33434,                0.22963,                 1.1928,                 1.8827,                 2.3826,                  1.313,             0.00085388,             0.00085388,             0.00085388
                     10,                 1.1107,                 1.2662,                 2.4276,                 1.1933,                0.27264,                0.80833,                0.40897,                0.31661,                0.27264,                0.80833,                0.40897,                0.31338,                0.99756,                 1.9079,                 4.8384,                  1.307,             0.00092774,             0.00092774,             0.00092774
                     11,                0.99043,                 1.2846,                 2.4562,                 1.1264,                0.36531,                0.59557,                0.42536,                0.33362,                0.36531,                0.59557,                0.42536,                0.31094,                 1.0198,                 2.1448,                  2.211,                 1.2055,             0.00099707,             0.00099707,             0.00099707
                     12,                 1.1221,                 1.5509,                  2.408,                 1.1418,                0.79133,                0.24167,                0.43065,                0.27668,                0.79133,                0.24167,                0.43065,                0.26958,                 1.0566,                 1.5218,                 2.2667,                 1.2007,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.0266,                 1.3866,                   2.19,                 1.0858,                0.47034,                   0.25,                0.15496,                 0.1064,                0.46571,                   0.25,                0.16243,                0.09984,                 1.3515,                 1.7522,                 4.4962,                  1.454,              0.0010895,              0.0010895,              0.0010895
                     14,                   1.07,                 1.3543,                 2.0717,                 1.1531,                0.47439,                0.36667,                0.15716,                0.09206,                0.47439,                0.36667,                0.15728,                0.09941,                 1.0949,                 1.7377,                  5.763,                  1.266,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.1324,                 1.3307,                  2.016,                 1.2013,                0.39117,                0.06944,                0.06638,                0.04192,                0.39117,                0.06944,                0.06406,                0.03562,                 1.9429,                 4.0899,                 4.9585,                 1.9955,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.0902,                 1.5566,                 1.7981,                 1.1936,                0.20142,                0.46175,                0.25968,                0.17248,                0.20142,                0.46175,                0.25968,                 0.1633,                 1.1248,                 1.8688,                 3.3243,                 1.2508,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.0136,                 1.5716,                 1.7864,                 1.0804,                 0.2148,                0.54859,                0.35202,                0.25061,                 0.2148,                0.54859,                0.35082,                0.23469,                  1.104,                 4.3576,                 3.7082,                 1.2403,              0.0010046,              0.0010046,              0.0010046
                     18,                0.99523,                 1.6127,                 1.7552,                 1.1187,                0.27196,                0.73013,                0.40968,                0.29424,                0.26688,                0.71624,                0.40354,                 0.2738,                 1.0419,                 3.2002,                  2.734,                 1.2038,             0.00097629,             0.00097629,             0.00097629
                     19,                0.99528,                 1.2148,                 2.1646,                 1.1157,                0.11754,                0.47932,                0.31591,                0.21737,                0.11754,                0.47932,                0.31591,                0.21277,                 1.0149,                 1.5176,                 1.9795,                 1.2575,               0.000948,               0.000948,               0.000948
                     20,                0.99139,                 1.3502,                  2.102,                 1.1403,                0.83148,                   0.25,                0.34593,                 0.2524,                0.83148,                   0.25,                0.34593,                0.24171,                0.92365,                 1.6556,                 2.3965,                 1.2025,              0.0009197,              0.0009197,              0.0009197
                     21,                 0.9206,                 1.2703,                 1.8342,                 1.0531,                0.19219,                0.78611,                0.34713,                0.25754,                0.20201,                0.77222,                0.34396,                0.24415,                0.91428,                 1.5117,                  2.181,                 1.1908,             0.00089141,             0.00089141,             0.00089141
